Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2016-11-05,Breakfast,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-11-05,Lunch,570.0,33.0,3.5,8.0,20.0,0.0,0.0,170.0,670.0,57.0,11.0,24.0,21.0,10.0,10.0,32.0,27.0
2016-11-05,Dinner,1560.0,41.0,6.5,9.0,22.0,0.0,75.0,1990.0,940.0,120.0,19.0,61.0,63.0,32.0,50.0,52.0,66.0
2016-11-05,Snacks,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-06,Breakfast,570.0,33.0,3.5,8.0,20.0,0.0,0.0,170.0,670.0,57.0,11.0,24.0,21.0,10.0,10.0,32.0,27.0
2016-11-06,Lunch,1010.0,19.0,2.5,4.5,11.0,0.0,0.0,170.0,470.0,51.0,8.0,23.0,15.0,10.0,10.0,26.0,21.0
2016-11-06,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-11-06,Snacks,250.0,5.0,1.5,1.0,2.0,0.0,0.0,170.0,270.0,45.0,5.0,22.0,9.0,10.0,10.0,20.0,15.0
2016-11-07,Lunch,340.0,13.0,3.5,0.0,0.0,0.0,195.0,630.0,0.0,14.0,3.0,10.0,41.0,0.0,0.0,0.0,0.0
2016-11-07,Dinner,700.0,17.5,3.5,0.0,0.0,0.0,140.0,2310.0,0.0,70.0,28.0,7.0,66.5,0.0,35.0,49.0,42.0
2016-11-07,Snacks,1000.0,37.0,10.0,9.0,14.0,0.0,70.0,1640.0,0.0,68.0,10.0,22.0,98.0,8.0,0.0,36.0,24.0
2016-11-08,Breakfast,314.7,16.1,7.0,0.0,0.1,0.0,0.0,379.5,232.3,39.0,1.0,16.0,3.6,2.0,0.0,0.9,8.3
2016-11-08,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
